underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,gross_pnl_contract,txn_cost_contract,buying_power,outcome,entry_delta,entry_iv,size_mult,exit_rule
NIFTY,2024,3,2024-02-22,2024-03-28,2024-03-26,35,2,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,10.2,1.1499999999999986,-27.73255604000009,74.74999999999991,102.48255604,8643.375,managed,-0.2968697147116397,14.483957,1.0,DTE2
NIFTY,2024,4,2024-03-21,2024-04-25,2024-04-25,35,0,22014.8,22570.35,21800.0,21700.0,100.0,12.799999999999997,0.0,12.799999999999997,779.9026688599997,831.9999999999998,52.097331139999994,10202.4,expired_worthless,-0.30466893842334786,10.466896,1.2,DTE2
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-27,35,0,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.0,12.5,758.74588178,812.5,53.754118219999995,4265.625,expired_worthless,-0.30678153301772404,14.484429,0.5,DTE2
NIFTY,2024,7,2024-06-20,2024-07-25,2024-07-25,35,0,23579.15,24406.1,23250.0,23150.0,100.0,12.25,0.0,12.25,743.97885834,796.25,52.27114166,8555.625,expired_worthless,-0.2927230709430595,12.453311,1.0,DTE2
NIFTY,2024,9,2024-08-22,2024-09-26,2024-09-26,35,0,24810.9,26216.05,24500.0,24400.0,100.0,13.0,0.0,13.0,792.701608,845.0,52.29839200000001,8482.5,expired_worthless,-0.29302183685673056,11.553228,1.0,DTE2
NIFTY,2024,11,2024-10-24,2024-11-28,2024-11-26,35,2,24414.6,23914.15,24050.0,23950.0,100.0,12.049999999999997,19.1,-7.050000000000004,-563.8281797400002,-458.2500000000003,105.57817974,8575.125,managed,-0.2974504788923489,13.449682,1.0,DTE2
NIFTY,2024,12,2024-11-21,2024-12-26,2024-12-26,35,0,23346.75,23750.2,22950.0,22850.0,100.0,16.200000000000003,0.0,16.200000000000003,996.0708509600003,1053.0000000000002,56.92914904,8170.5,expired_worthless,-0.3259205417150256,17.817483,1.0,DTE2
NIFTY,2025,2,2025-01-23,2025-02-27,2025-02-25,35,2,23216.3,22545.05,22800.0,22700.0,100.0,12.449999999999996,94.65,-82.20000000000002,-5468.876494140001,-5343.000000000001,125.87649414,8536.125000000002,managed,-0.3032385984527599,16.022788,1.0,DTE2
NIFTY,2025,3,2025-02-20,2025-03-27,2025-03-27,35,0,22906.25,23591.95,22550.0,22450.0,100.0,14.25,0.0,14.25,873.26662214,926.25,52.983377860000004,8360.625,expired_worthless,-0.29979084864981786,14.058411,1.0,DTE2
NIFTY,2025,4,2025-03-25,2025-04-29,2025-04-29,35,0,23605.95,24335.95,23200.0,23100.0,100.0,3.8000000000000007,0.0,3.8000000000000007,197.99953406000006,247.00000000000006,49.00046594,11255.4,expired_worthless,-0.3276823741432632,18.211203,1.2,DTE2
