underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,buying_power,outcome,entry_delta,entry_iv,param_delta,param_width,param_pt,param_manage
BANKNIFTY,2025,11,2025-10-23,2025-11-27,2025-11-27,35,0,57981.1,59737.3,57300.0,57000.0,300.0,29.10000000000001,0.0,29.10000000000001,1018.5000000000003,14222.25,expired_worthless,-0.30195976350212084,11.64,0.3,300.0,1.0,
BANKNIFTY,2025,9,2025-08-21,2025-09-25,2025-09-25,35,0,55733.9,54976.2,55200.0,54700.0,500.0,49.9,223.8000000000029,-173.9000000000029,-6086.500000000102,23630.25,partial_loss,-0.29608781210272306,9.84,0.3,500.0,1.0,
BANKNIFTY,2025,10,2025-09-25,2025-10-30,2025-10-30,35,0,54950.95,58031.1,54500.0,54000.0,500.0,44.2,0.0,44.2,1547.0,23929.5,expired_worthless,-0.306712188496001,9.53,0.3,500.0,1.0,
BANKNIFTY,2025,5,2025-04-24,2025-05-29,2025-05-29,35,0,55130.9,55546.05,54900.0,54600.0,300.0,0.3,-0.24999999999999997,0.5499999999999999,19.249999999999996,15734.25,profit_take,-0.24781794924380696,0.0,0.3,300.0,0.5,21
BANKNIFTY,2025,8,2025-07-24,2025-08-28,2025-08-07,35,21,57033.7,53820.35,56400.0,56100.0,300.0,35.849999999999994,189.39999999999998,-153.54999999999998,-5374.249999999999,13867.875,managed,-0.30340323549490533,11.306851,0.3,300.0,0.5,21
BANKNIFTY,2025,9,2025-08-21,2025-09-25,2025-09-04,35,21,55733.9,54976.2,55200.0,54900.0,300.0,33.0,120.59999999999991,-87.59999999999991,-3065.999999999997,14017.5,managed,-0.29608781210272306,9.84,0.3,300.0,0.5,21
BANKNIFTY,2025,10,2025-09-25,2025-10-30,2025-09-30,35,30,54950.95,58031.1,54500.0,54200.0,300.0,33.45,0.0,33.45,1170.75,13993.875,profit_take,-0.306712188496001,9.53,0.3,300.0,0.5,21
BANKNIFTY,2025,11,2025-10-23,2025-11-27,2025-10-27,35,31,57981.1,59737.3,57300.0,57000.0,300.0,29.10000000000001,1.9999999999999982,27.10000000000001,948.5000000000003,14222.25,profit_take,-0.30195976350212084,11.64,0.3,300.0,0.5,21
BANKNIFTY,2025,9,2025-08-21,2025-09-25,2025-09-04,35,21,55733.9,54976.2,55200.0,54700.0,500.0,49.9,238.94999999999993,-189.04999999999993,-6616.749999999997,23630.25,managed,-0.29608781210272306,9.84,0.3,500.0,0.5,21
BANKNIFTY,2025,10,2025-09-25,2025-10-30,2025-09-30,35,30,54950.95,58031.1,54500.0,54000.0,500.0,44.2,0.0,44.2,1547.0,23929.5,profit_take,-0.306712188496001,9.53,0.3,500.0,0.5,21
